1609508880.0,29462.64000000,29467.60000000,29451.52000000,29464.80000000,25.77819500,1609508939999,759468.59245203,765,13.83447300,407589.13120526,0
1609508940.0,29466.78000000,29467.18000000,29442.11000000,29448.39000000,22.30943100,1609508999999,657168.17335280,629,7.96642300,234660.00480130,0
1609509000.0,29448.40000000,29465.00000000,29448.39000000,29463.08000000,34.63731400,1609509059999,1020391.18988856,709,15.11528600,445293.17872985,0
1609509060.0,29462.64000000,29467.18000000,29459.69000000,29462.45000000,20.23955400,1609509119999,596293.70651605,627,9.62626800,283610.90216120,0
1609509120.0,29462.46000000,29464.00000000,29427.78000000,29448.10000000,33.84058800,1609509179999,996441.84005120,915,12.96677900,381779.80353749,0
1609509180.0,29448.31000000,29452.14000000,29443.37000000,29450.01000000,14.47462400,1609509239999,426271.69386232,532,5.35966000,157836.17739493,0
1609509240.0,29450.00000000,29451.99000000,29442.83000000,29446.28000000,19.02344700,1609509299999,560222.30982398,641,9.96821800,293549.38690038,0
1609509300.0,29447.24000000,29452.82000000,29431.57000000,29450.73000000,34.22502900,1609509359999,1007821.76038587,678,7.68306200,226237.95361657,0
1609509360.0,29450.74000000,29459.99000000,29444.72000000,29450.64000000,60.28650300,1609509419999,1775638.29127189,953,31.10392900,916134.74582766,0
1609509420.0,29450.64000000,29469.00000000,29450.64000000,29465.01000000,38.22280400,1609509479999,1126091.49759422,769,25.52835300,752097.23132319,0
1609509480.0,29465.00000000,29466.59000000,29447.32000000,29459.22000000,23.05941000,1609509539999,679302.78316809,682,8.56703700,252353.60686849,0
1609509540.0,29459.22000000,29468.01000000,29445.85000000,29464.79000000,35.39454900,1609509599999,1042579.00674044,967,24.86695500,732458.46720530,0
1609509600.0,29464.79000000,29479.59000000,29460.00000000,29460.02000000,41.42599000,1609509659999,1220847.03565820,1001,24.44140600,720301.40450460,0
1609509660.0,29460.67000000,29464.40000000,29356.05000000,29374.56000000,90.71440200,1609509719999,2667880.38507423,1745,26.33794400,774405.72040885,0
1609509720.0,29372.83000000,29415.55000000,29364.71000000,29403.99000000,60.25277400,1609509779999,1770768.12553942,1085,43.62116400,1281905.19468365,0
1609509780.0,29404.00000000,29448.70000000,29395.84000000,29427.56000000,91.55914500,1609509839999,2693391.61957973,1327,51.90444000,1526761.48071342,0
1609509840.0,29427.99000000,29466.88000000,29424.18000000,29441.61000000,53.24090000,1609509899999,1567816.81447152,1450,22.53889800,663778.17999226,0
1609509900.0,29441.62000000,29484.32000000,29439.63000000,29466.74000000,39.93756400,1609509959999,1176509.56126175,980,25.07020900,738535.68117975,0
1609509960.0,29466.74000000,29492.09000000,29466.74000000,29492.09000000,40.17587200,1609510019999,1184283.96382522,735,30.24143000,891408.14645664,0
1609510020.0,29492.19000000,29526.54000000,29492.19000000,29522.55000000,90.39443900,1609510079999,2667544.00404889,1680,70.47362600,2079574.29639124,0
1609510080.0,29522.55000000,29530.00000000,29486.33000000,29494.66000000,72.09646500,1609510139999,2127701.61848092,1310,36.76404700,1085194.81606620,0
